,Survived,Name,Sex,Age,Embarked
0,0,"Braund, Mr. Owen Harris",male,22.0,S
1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,C
2,1,"Heikkinen, Miss. Laina",female,26.0,S
3,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,S
4,0,"Allen, Mr. William Henry",male,35.0,S
5,0,"Moran, Mr. James",male,,Q
6,0,"McCarthy, Mr. Timothy J",male,54.0,S
7,0,"Palsson, Master. Gosta Leonard",male,2.0,S
8,1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,S
9,1,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,C
10,1,"Sandstrom, Miss. Marguerite Rut",female,4.0,S
11,1,"Bonnell, Miss. Elizabeth",female,58.0,S
12,0,"Saundercock, Mr. William Henry",male,20.0,S
13,0,"Andersson, Mr. Anders Johan",male,39.0,S
14,0,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,S
15,1,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,S
16,0,"Rice, Master. Eugene",male,2.0,Q
17,1,"Williams, Mr. Charles Eugene",male,,S
18,0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,S
19,1,"Masselmani, Mrs. Fatima",female,,C
20,0,"Fynney, Mr. Joseph J",male,35.0,S
21,1,"Beesley, Mr. Lawrence",male,34.0,S
22,1,"McGowan, Miss. Anna ""Annie""",female,15.0,Q
23,1,"Sloper, Mr. William Thompson",male,28.0,S
24,0,"Palsson, Miss. Torborg Danira",female,8.0,S
25,1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,S
26,0,"Emir, Mr. Farred Chehab",male,,C
27,0,"Fortune, Mr. Charles Alexander",male,19.0,S
28,1,"O'Dwyer, Miss. Ellen ""Nellie""",female,,Q
29,0,"Todoroff, Mr. Lalio",male,,S
30,0,"Uruchurtu, Don. Manuel E",male,40.0,C
31,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,C
32,1,"Glynn, Miss. Mary Agatha",female,,Q
33,0,"Wheadon, Mr. Edward H",male,66.0,S
34,0,"Meyer, Mr. Edgar Joseph",male,28.0,C
35,0,"Holverson, Mr. Alexander Oskar",male,42.0,S
36,1,"Mamee, Mr. Hanna",male,,C
37,0,"Cann, Mr. Ernest Charles",male,21.0,S
38,0,"Vander Planke, Miss. Augusta Maria",female,18.0,S
39,1,"Nicola-Yarred, Miss. Jamila",female,14.0,C
40,0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,S
41,0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,S
42,0,"Kraeff, Mr. Theodor",male,,C
43,1,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,C
44,1,"Devaney, Miss. Margaret Delia",female,19.0,Q
45,0,"Rogers, Mr. William John",male,,S
46,0,"Lennon, Mr. Denis",male,,Q
47,1,"O'Driscoll, Miss. Bridget",female,,Q
48,0,"Samaan, Mr. Youssef",male,,C
49,0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,S
50,0,"Panula, Master. Juha Niilo",male,7.0,S
51,0,"Nosworthy, Mr. Richard Cater",male,21.0,S
52,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,C
53,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,S
54,0,"Ostby, Mr. Engelhart Cornelius",male,65.0,C
55,1,"Woolner, Mr. Hugh",male,,S
56,1,"Rugg, Miss. Emily",female,21.0,S
57,0,"Novel, Mr. Mansouer",male,28.5,C
58,1,"West, Miss. Constance Mirium",female,5.0,S
59,0,"Goodwin, Master. William Frederick",male,11.0,S
60,0,"Sirayanian, Mr. Orsen",male,22.0,C
61,1,"Icard, Miss. Amelie",female,38.0,
62,0,"Harris, Mr. Henry Birkhardt",male,45.0,S
63,0,"Skoog, Master. Harald",male,4.0,S
64,0,"Stewart, Mr. Albert A",male,,C
65,1,"Moubarek, Master. Gerios",male,,C
66,1,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,S
67,0,"Crease, Mr. Ernest James",male,19.0,S
68,1,"Andersson, Miss. Erna Alexandra",female,17.0,S
69,0,"Kink, Mr. Vincenz",male,26.0,S
70,0,"Jenkin, Mr. Stephen Curnow",male,32.0,S
71,0,"Goodwin, Miss. Lillian Amy",female,16.0,S
72,0,"Hood, Mr. Ambrose Jr",male,21.0,S
73,0,"Chronopoulos, Mr. Apostolos",male,26.0,C
74,1,"Bing, Mr. Lee",male,32.0,S
75,0,"Moen, Mr. Sigurd Hansen",male,25.0,S
76,0,"Staneff, Mr. Ivan",male,,S
77,0,"Moutal, Mr. Rahamin Haim",male,,S
78,1,"Caldwell, Master. Alden Gates",male,0.83,S
79,1,"Dowdell, Miss. Elizabeth",female,30.0,S
80,0,"Waelens, Mr. Achille",male,22.0,S
81,1,"Sheerlinck, Mr. Jan Baptist",male,29.0,S
82,1,"McDermott, Miss. Brigdet Delia",female,,Q
83,0,"Carrau, Mr. Francisco M",male,28.0,S
84,1,"Ilett, Miss. Bertha",female,17.0,S
85,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,S
86,0,"Ford, Mr. William Neal",male,16.0,S
87,0,"Slocovski, Mr. Selman Francis",male,,S
88,1,"Fortune, Miss. Mabel Helen",female,23.0,S
89,0,"Celotti, Mr. Francesco",male,24.0,S
90,0,"Christmann, Mr. Emil",male,29.0,S
91,0,"Andreasson, Mr. Paul Edvin",male,20.0,S
92,0,"Chaffee, Mr. Herbert Fuller",male,46.0,S
93,0,"Dean, Mr. Bertram Frank",male,26.0,S
94,0,"Coxon, Mr. Daniel",male,59.0,S
95,0,"Shorney, Mr. Charles Joseph",male,,S
96,0,"Goldschmidt, Mr. George B",male,71.0,C
97,1,"Greenfield, Mr. William Bertram",male,23.0,C
98,1,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,S
99,0,"Kantor, Mr. Sinai",male,34.0,S
100,0,"Petranec, Miss. Matilda",female,28.0,S
101,0,"Petroff, Mr. Pastcho (""Pentcho"")",male,,S
102,0,"White, Mr. Richard Frasar",male,21.0,S
103,0,"Johansson, Mr. Gustaf Joel",male,33.0,S
104,0,"Gustafsson, Mr. Anders Vilhelm",male,37.0,S
105,0,"Mionoff, Mr. Stoytcho",male,28.0,S
106,1,"Salkjelsvik, Miss. Anna Kristine",female,21.0,S
107,1,"Moss, Mr. Albert Johan",male,,S
108,0,"Rekic, Mr. Tido",male,38.0,S
109,1,"Moran, Miss. Bertha",female,,Q
110,0,"Porter, Mr. Walter Chamberlain",male,47.0,S
111,0,"Zabour, Miss. Hileni",female,14.5,C
112,0,"Barton, Mr. David John",male,22.0,S
113,0,"Jussila, Miss. Katriina",female,20.0,S
114,0,"Attalah, Miss. Malake",female,17.0,C
115,0,"Pekoniemi, Mr. Edvard",male,21.0,S
116,0,"Connors, Mr. Patrick",male,70.5,Q
117,0,"Turpin, Mr. William John Robert",male,29.0,S
118,0,"Baxter, Mr. Quigg Edmond",male,24.0,C
119,0,"Andersson, Miss. Ellis Anna Maria",female,2.0,S
120,0,"Hickman, Mr. Stanley George",male,21.0,S
121,0,"Moore, Mr. Leonard Charles",male,,S
122,0,"Nasser, Mr. Nicholas",male,32.5,C
123,1,"Webber, Miss. Susan",female,32.5,S
124,0,"White, Mr. Percival Wayland",male,54.0,S
125,1,"Nicola-Yarred, Master. Elias",male,12.0,C
126,0,"McMahon, Mr. Martin",male,,Q
127,1,"Madsen, Mr. Fridtjof Arne",male,24.0,S
128,1,"Peter, Miss. Anna",female,,C
129,0,"Ekstrom, Mr. Johan",male,45.0,S
130,0,"Drazenoic, Mr. Jozef",male,33.0,C
131,0,"Coelho, Mr. Domingos Fernandeo",male,20.0,S
132,0,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,S
133,1,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,S
134,0,"Sobey, Mr. Samuel James Hayden",male,25.0,S
135,0,"Richard, Mr. Emile",male,23.0,C
136,1,"Newsom, Miss. Helen Monypeny",female,19.0,S
137,0,"Futrelle, Mr. Jacques Heath",male,37.0,S
138,0,"Osen, Mr. Olaf Elon",male,16.0,S
139,0,"Giglio, Mr. Victor",male,24.0,C
140,0,"Boulos, Mrs. Joseph (Sultana)",female,,C
141,1,"Nysten, Miss. Anna Sofia",female,22.0,S
142,1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,S
143,0,"Burke, Mr. Jeremiah",male,19.0,Q
144,0,"Andrew, Mr. Edgardo Samuel",male,18.0,S
145,0,"Nicholls, Mr. Joseph Charles",male,19.0,S
146,1,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,S
147,0,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,S
148,0,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,S
149,0,"Byles, Rev. Thomas Roussel Davids",male,42.0,S
150,0,"Bateman, Rev. Robert James",male,51.0,S
151,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,S
152,0,"Meo, Mr. Alfonzo",male,55.5,S
153,0,"van Billiard, Mr. Austin Blyler",male,40.5,S
154,0,"Olsen, Mr. Ole Martin",male,,S
155,0,"Williams, Mr. Charles Duane",male,51.0,C
156,1,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,Q
157,0,"Corn, Mr. Harry",male,30.0,S
158,0,"Smiljanic, Mr. Mile",male,,S
159,0,"Sage, Master. Thomas Henry",male,,S
160,0,"Cribb, Mr. John Hatfield",male,44.0,S
161,1,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,S
162,0,"Bengtsson, Mr. John Viktor",male,26.0,S
163,0,"Calic, Mr. Jovo",male,17.0,S
164,0,"Panula, Master. Eino Viljami",male,1.0,S
165,1,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,S
166,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,S
167,0,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,S
168,0,"Baumann, Mr. John D",male,,S
